timestamp,ssid,bssid,channel,rssi
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-77
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-81
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-83
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-77
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-84
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-83
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-85
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-84
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-80
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-78
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-82
20/08/2025 13:36,,,,-79
20/08/2025 13:36,,,,-81
20/08/2025 13:36,,,,-79
